	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0262951"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00
"FBgn0262952"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262954"	414.11	332.96	322.53	300.70	314.01	321.24	340.48	452.45	396.42	439.48	471.61	430.93	332.84	387.80	253.05
"FBgn0262955"	78.95	104.04	123.58	82.89	96.34	86.40	178.46	110.49	148.04	63.77	54.11	67.72	63.56	48.44	108.55
"FBgn0262960"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262961"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262962"	47.88	38.14	34.93	42.83	36.78	36.74	45.42	54.45	48.66	57.80	58.59	59.93	54.36	58.75	61.23
"FBgn0262963"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262964"	0.35	0.11	0.12	0.00	0.00	0.10	0.12	0.34	0.24	0.20	0.10	0.29	0.31	0.11	0.09
"FBgn0262965"	0.00	0.24	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00
"FBgn0262966"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262967"	0.10	0.09	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00
"FBgn0262968"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262969"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262970"	0.06	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.11	0.18	0.15
"FBgn0262971"	0.16	0.15	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00
"FBgn0262972"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262974"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262975"	67.14	93.41	105.97	64.72	72.16	55.33	19.27	11.39	18.08	56.26	47.79	59.91	64.68	79.67	113.26
"FBgn0262976"	66.00	58.88	56.06	62.93	64.30	63.48	36.11	38.85	36.70	78.76	67.75	66.79	46.48	52.37	47.03
"FBgn0262979"	1.69	1.08	1.79	1.10	0.62	0.69	3.03	1.98	3.45	1.75	1.78	2.14	1.36	0.97	1.63
"FBgn0262980"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262981"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262982"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262983"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262984"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262985"	0.00	0.24	0.42	0.50	0.16	0.47	0.21	0.00	0.53	1.18	0.52	0.33	0.87	0.74	1.57
"FBgn0262986"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262987"	69.43	62.54	56.76	64.17	64.98	66.07	90.52	113.02	96.01	83.15	89.23	75.72	73.28	75.54	55.88
"FBgn0262988"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262989"	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262990"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262991"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262992"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262993"	1.63	1.31	0.94	0.97	1.03	0.77	0.51	0.31	0.29	1.33	0.80	0.98	1.26	1.27	1.45
"FBgn0262994"	0.00	0.00	0.00	0.00	0.00	0.31	0.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262995"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262996"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0262998"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00
"FBgn0262999"	0.00	0.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263000"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263001"	9.26	10.26	7.86	1.61	3.01	1.59	7.26	8.36	8.47	14.58	14.78	12.71	34.86	38.65	32.03
"FBgn0263002"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263004"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263005"	17.58	28.64	35.02	21.71	24.22	19.29	6.95	3.87	6.76	10.38	12.39	14.17	14.80	15.63	26.85
"FBgn0263006"	74.27	118.80	148.36	81.60	89.40	86.53	46.79	23.16	42.89	43.75	44.37	53.31	56.49	64.77	101.34
"FBgn0263018"	13.90	20.97	9.38	25.70	13.94	9.56	9.34	12.43	0.00	32.44	8.87	11.65	28.77	17.09	11.49
"FBgn0263019"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263020"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263021"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263022"	0.10	0.00	0.00	0.00	0.00	0.09	0.11	0.10	0.11	0.00	0.09	0.00	0.09	0.10	0.00
"FBgn0263023"	0.16	0.00	0.00	0.00	0.51	0.00	0.17	0.15	0.00	0.27	0.42	0.27	0.14	0.00	0.13
"FBgn0263024"	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.10	1.15	3.12	1.11	1.17	0.00
"FBgn0263025"	31.55	29.64	35.40	26.86	28.24	30.89	25.01	23.28	24.98	28.77	33.05	32.27	21.92	21.20	23.59
"FBgn0263026"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263027"	18.29	19.03	17.33	20.71	18.68	20.02	0.41	0.37	0.33	15.79	13.09	16.19	13.45	17.73	15.54
"FBgn0263029"	1.25	0.57	0.92	0.21	0.20	0.22	1.97	1.66	1.91	1.26	1.17	1.64	1.73	1.28	1.17
"FBgn0263030"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263031"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263032"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263033"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00
"FBgn0263034"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263035"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263036"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263037"	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263038"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00
"FBgn0263039"	0.52	0.40	0.33	0.51	0.51	0.56	0.92	0.70	0.50	0.60	0.54	0.48	0.87	1.02	1.01
"FBgn0263040"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263041"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263042"	0.00	0.00	0.00	0.05	0.13	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263046"	0.00	0.00	0.09	0.07	0.00	0.00	0.00	0.16	0.00	0.07	0.00	0.00	0.00	0.00	0.00
"FBgn0263047"	29.58	27.65	25.84	27.19	23.40	24.76	34.61	40.16	33.57	23.31	24.39	32.68	22.44	23.99	35.92
"FBgn0263048"	3.24	5.38	5.93	4.36	5.27	4.22	12.21	6.58	10.41	3.49	3.12	3.16	2.89	3.89	9.06
"FBgn0263049"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263050"	14.03	16.07	17.06	15.55	18.19	16.68	22.60	18.69	21.33	14.28	14.12	13.68	12.07	10.33	15.12
"FBgn0263051"	63.15	58.00	52.84	67.94	62.01	71.05	77.42	86.25	84.45	82.10	88.47	71.20	66.04	72.32	67.69
"FBgn0263072"	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263076"	0.06	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.03
"FBgn0263077"	21.78	33.00	38.72	18.97	23.17	16.34	10.45	5.26	9.91	14.12	13.02	16.55	18.13	21.33	31.89
"FBgn0263078"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04
"FBgn0263079"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263080"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263081"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.00
"FBgn0263082"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263083"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.93	0.00
"FBgn0263084"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.00	0.00
"FBgn0263085"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263086"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.59	0.00
"FBgn0263087"	0.41	0.61	0.35	0.00	0.00	0.00	0.35	0.63	0.38	0.09	0.57	0.27	0.58	1.45	3.49
"FBgn0263088"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263089"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263090"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.66	1.22	0.65	0.00	0.00
"FBgn0263091"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263092"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263093"	9.13	11.90	13.40	15.65	18.41	13.63	6.17	4.05	3.82	9.07	7.91	6.90	19.96	19.92	24.28
"FBgn0263094"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263095"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263096"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263102"	45.45	76.80	99.75	35.47	42.58	28.14	95.11	54.44	80.84	29.32	24.42	27.15	32.27	41.06	78.77
"FBgn0263106"	275.86	313.63	355.56	321.42	327.74	308.19	113.52	80.40	95.59	261.23	201.57	238.14	252.39	228.87	324.32
"FBgn0263107"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263108"	54.81	84.98	104.53	55.09	60.12	47.62	28.55	16.09	24.85	37.60	37.54	39.99	49.06	58.85	80.75
"FBgn0263109"	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.01	0.00	0.02	0.00	0.00	0.00	0.00
"FBgn0263110"	3.37	6.64	9.26	2.44	3.75	2.25	2.42	1.20	1.87	1.60	1.23	1.95	2.20	2.71	6.33
"FBgn0263111"	0.09	0.18	0.21	0.08	0.06	0.07	0.19	0.15	0.15	0.08	0.07	0.08	0.10	0.13	0.16
"FBgn0263112"	159.27	196.86	175.85	206.19	213.04	185.61	49.83	35.66	45.32	178.40	124.06	178.18	158.00	201.66	219.89
"FBgn0263113"	0.02	0.03	0.02	0.00	0.01	0.01	0.05	0.03	0.05	0.00	0.03	0.01	0.00	0.00	0.00
"FBgn0263114"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263116"	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263117"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263118"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00
"FBgn0263120"	61.79	79.34	81.01	79.87	85.08	76.40	7.17	3.84	7.19	47.25	38.71	47.72	50.04	60.97	78.38
"FBgn0263121"	53.98	31.18	39.26	36.03	40.71	28.66	45.59	66.11	57.63	36.12	51.70	35.31	44.02	62.53	78.41
"FBgn0263130"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263131"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263132"	0.03	0.01	0.04	0.02	0.02	0.00	0.01	0.03	0.01	0.03	0.01	0.06	0.02	0.00	0.07
"FBgn0263133"	51.97	56.96	60.05	61.31	62.81	58.45	19.22	14.12	18.55	43.15	37.61	45.83	48.46	49.22	65.25
"FBgn0263143"	41.22	38.51	45.55	46.90	49.68	46.42	31.66	25.63	28.53	39.04	37.77	42.79	37.95	38.27	50.55
"FBgn0263144"	37.21	58.67	69.23	32.89	37.32	26.43	15.12	7.39	13.87	22.89	19.75	26.11	31.74	41.48	60.43
"FBgn0263197"	11.11	20.23	30.30	8.49	10.74	5.52	30.41	16.63	26.89	7.24	5.92	7.65	8.99	9.90	20.43
"FBgn0263198"	67.05	77.56	90.40	77.69	82.60	71.40	103.68	77.98	100.20	51.32	45.94	53.68	61.91	54.30	98.63
"FBgn0263199"	36.89	38.43	38.94	40.04	38.84	41.41	9.19	7.24	8.54	28.88	34.05	36.64	33.69	39.53	40.90
"FBgn0263200"	0.49	0.91	0.58	0.47	0.17	0.62	0.91	0.52	0.62	0.41	0.68	0.99	0.86	1.13	0.69
"FBgn0263201"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263206"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263207"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263208"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263209"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263210"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263211"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263212"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263213"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263214"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263215"	0.00	0.13	0.00	0.00	0.03	0.00	0.00	0.00	0.19	0.30	0.00	0.00	0.16	0.00	0.00
"FBgn0263216"	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263217"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263219"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263220"	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00
"FBgn0263231"	45.89	80.95	98.41	38.03	44.71	35.01	37.50	23.39	34.24	28.42	27.46	27.82	37.71	62.87	70.83
"FBgn0263232"	7.43	11.04	12.87	7.45	8.27	6.74	3.85	2.45	3.62	5.63	3.78	5.18	5.18	7.32	14.81
"FBgn0263233"	0.19	0.61	0.00	0.28	0.26	0.60	0.00	1.24	0.95	0.28	0.66	0.92	0.00	0.31	0.26
"FBgn0263234"	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.07	0.00	0.17	0.00	0.00	0.00	0.00
"FBgn0263235"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263236"	33.99	44.23	54.42	40.82	43.35	41.60	68.07	42.26	60.24	27.54	26.54	28.43	29.19	21.86	47.99
"FBgn0263237"	89.32	89.78	94.74	109.26	111.91	104.11	86.38	82.85	82.16	95.69	95.72	107.53	101.15	90.35	113.71
"FBgn0263239"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263240"	8.40	10.15	12.27	14.96	13.58	14.70	13.72	13.39	14.31	8.39	9.09	8.80	11.17	11.82	13.72
"FBgn0263241"	7.59	7.53	7.99	8.24	8.89	8.76	0.04	0.13	0.22	5.84	4.83	6.05	6.17	8.94	8.29
"FBgn0263246"	0.00	0.09	0.10	0.00	0.00	0.08	0.10	0.00	0.00	0.00	0.08	0.00	0.08	0.00	0.00
"FBgn0263247"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263248"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263249"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.79	0.47	0.00
"FBgn0263250"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263251"	214.22	219.13	213.36	274.67	263.63	271.62	136.54	122.72	134.83	250.20	235.58	243.51	263.92	258.76	244.47
"FBgn0263256"	0.12	0.09	0.10	0.07	0.27	0.42	0.02	0.19	0.03	0.23	0.16	0.08	0.08	0.13	0.13
"FBgn0263257"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263258"	2.74	2.92	3.89	2.80	2.99	2.74	3.91	2.96	3.63	1.78	2.23	2.30	4.34	4.76	6.39
"FBgn0263260"	135.01	120.31	106.67	137.66	139.07	131.54	64.54	61.32	57.24	137.51	114.34	130.67	147.19	161.45	145.12
"FBgn0263270"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263271"	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00
"FBgn0263278"	92.35	90.91	95.50	97.31	97.45	93.91	29.63	18.23	26.09	77.06	78.00	89.84	70.89	70.54	87.92
"FBgn0263289"	11.87	22.98	34.15	9.52	10.68	7.33	39.41	20.53	32.98	7.79	6.88	7.21	8.17	10.70	20.82
"FBgn0263290"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263314"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263316"	0.02	0.01	0.07	0.22	0.15	0.11	0.00	0.01	0.00	0.04	0.00	0.04	0.00	0.01	0.01
"FBgn0263320"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263321"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
"FBgn0263322"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263323"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263324"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263325"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263326"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263327"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263328"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263329"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263330"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263331"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263332"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263333"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263334"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263335"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263336"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263337"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263338"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263339"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263340"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263341"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263342"	0.22	0.00	0.24	0.00	0.00	0.60	0.28	0.23	0.12	0.19	0.00	0.18	0.10	0.00	0.00
"FBgn0263343"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0263344"	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.02	0.04	0.02
"FBgn0263345"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00
"FBgn0263346"	9.63	17.83	23.43	11.91	13.30	9.27	15.18	7.43	12.53	5.72	3.94	6.13	2.96	3.63	5.92
"FBgn0263351"	55.21	61.38	57.40	66.30	62.26	66.91	3.07	3.01	3.18	42.51	39.81	45.42	53.59	69.51	68.57
"FBgn0263352"	13.54	29.11	22.35	23.49	30.43	18.17	32.08	20.28	29.18	10.11	6.97	8.80	13.41	24.98	60.50
"FBgn0263353"	0.16	0.09	0.14	0.08	0.00	0.06	0.00	0.00	0.00	0.16	0.11	0.19	0.36	0.24	0.25
"FBgn0263354"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
